stimulus,category,congruency,duration
images/start_instructions7.bmp,,,6
images/1MHEC.bmp,C,,1
images/fixation.bmp,fixation,,4
images/6FHEI.bmp,I,CI,1
images/fixation.bmp,fixation,,3
images/11FFEC.bmp,C,IC,1
images/fixation.bmp,fixation,,3
images/3MFEC.bmp,C,CC,1
images/fixation.bmp,fixation,,5
images/2MHEI.bmp,I,CI,1
images/fixation.bmp,fixation,,3
images/4MFEI.bmp,I,II,1
images/fixation.bmp,fixation,,4
images/7FHEI.bmp,I,II,1
images/fixation.bmp,fixation,,4
images/4MHEC.bmp,C,IC,1
images/fixation.bmp,fixation,,5
images/5MHEC.bmp,C,CC,1
images/fixation.bmp,fixation,,4
images/1MFEI.bmp,I,CI,1
images/fixation.bmp,fixation,,3
images/5MFEC.bmp,C,IC,1
images/fixation.bmp,fixation,,3
images/6FFEI.bmp,I,CI,1
images/fixation.bmp,fixation,,5
images/4MHEI.bmp,I,II,1
images/fixation.bmp,fixation,,5
images/9FHEC.bmp,C,IC,1
images/fixation.bmp,fixation,,4
images/10FHEC.bmp,C,CC,1
images/fixation.bmp,fixation,,3
images/2MFEC.bmp,C,CC,1
images/fixation.bmp,fixation,,5
images/8FFEI.bmp,I,CI,1
images/fixation.bmp,fixation,,4
images/5MHEI.bmp,I,II,1
images/fixation.bmp,fixation,,3
images/3MHEI.bmp,I,II,1
images/fixation.bmp,fixation,,5
images/1MFEC.bmp,C,IC,1
images/fixation.bmp,fixation,,3
images/5MFEI.bmp,I,CI,1
images/fixation.bmp,fixation,,3
images/9FFEI.bmp,I,II,1
images/fixation.bmp,fixation,,4
images/6FHEC.bmp,C,IC,1
images/fixation.bmp,fixation,,5
images/2MFEC.bmp,C,CC,1
images/fixation.bmp,fixation,,4
images/3MHEC.bmp,C,CC,1
images/fixation.bmp,fixation,,5
images/7FHEI.bmp,I,CI,1
images/fixation.bmp,fixation,,4
images/5MFEI.bmp,I,II,1
images/fixation.bmp,fixation,,3
images/2MHEC.bmp,C,IC,1
images/fixation.bmp,fixation,,4
images/8FHEI.bmp,I,CI,1
images/fixation.bmp,fixation,,5
images/1MFEC.bmp,C,IC,1
images/fixation.bmp,fixation,,4
images/5MFEC.bmp,C,CC,1
images/fixation.bmp,fixation,,3
images/9FHEI.bmp,I,CI,1
images/fixation.bmp,fixation,,5
images/10FHEI.bmp,I,II,1
images/fixation.bmp,fixation,,5
images/2MFEI.bmp,I,II,1
images/fixation.bmp,fixation,,4
images/7FFEC.bmp,C,IC,1
images/fixation.bmp,fixation,,3
images/6FHEC.bmp,C,CC,1
images/fixation.bmp,fixation,,5
images/4MHEC.bmp,C,CC,1
images/fixation.bmp,fixation,,4
images/rest_instructions7.bmp,rest_instructions.png,,4
images/fixation.bmp,fixation,,4
images/1MFEI.bmp,I,,1
images/fixation.bmp,fixation,,3
images/11FHEC.bmp,C,IC,1
images/fixation.bmp,fixation,,5
images/5MFEI.bmp,I,CI,1
images/fixation.bmp,fixation,,5
images/6FFEI.bmp,I,II,1
images/fixation.bmp,fixation,,4
images/8FHEC.bmp,C,IC,1
images/fixation.bmp,fixation,,3
images/1MFEC.bmp,C,CC,1
images/fixation.bmp,fixation,,4
images/4MFEC.bmp,C,CC,1
images/fixation.bmp,fixation,,5
images/11FHEI.bmp,I,CI,1
images/fixation.bmp,fixation,,3
images/1MHEI.bmp,I,II,1
images/fixation.bmp,fixation,,5
images/3MFEC.bmp,C,IC,1
images/fixation.bmp,fixation,,3
images/6FFEI.bmp,I,CI,1
images/fixation.bmp,fixation,,3
images/9FFEC.bmp,C,IC,1
images/fixation.bmp,fixation,,4
images/7FHEC.bmp,C,CC,1
images/fixation.bmp,fixation,,4
images/2MHEI.bmp,I,CI,1
images/fixation.bmp,fixation,,3
images/3MFEI.bmp,I,II,1
images/fixation.bmp,fixation,,4
images/1MFEI.bmp,I,II,1
images/fixation.bmp,fixation,,5
images/11FHEC.bmp,C,IC,1
images/fixation.bmp,fixation,,5
images/5MHEC.bmp,C,CC,1
images/fixation.bmp,fixation,,3
images/1MFEC.bmp,C,CC,1
images/fixation.bmp,fixation,,4
images/5MFEI.bmp,I,CI,1
images/fixation.bmp,fixation,,4
images/2MFEC.bmp,C,IC,1
images/fixation.bmp,fixation,,5
images/2MFEC.bmp,C,CC,1
images/fixation.bmp,fixation,,3
images/3MHEI.bmp,I,CI,1
images/fixation.bmp,fixation,,5
images/4MFEI.bmp,I,II,1
images/fixation.bmp,fixation,,4
images/7FHEI.bmp,I,II,1
images/fixation.bmp,fixation,,4
images/4MHEC.bmp,C,IC,1
images/fixation.bmp,fixation,,5
images/9FHEC.bmp,C,CC,1
images/fixation.bmp,fixation,,3
images/11FFEI.bmp,I,CI,1
images/fixation.bmp,fixation,,3
images/1MHEC.bmp,C,IC,1
images/fixation.bmp,fixation,,4
images/5MHEI.bmp,I,CI,1
images/fixation.bmp,fixation,,5
images/3MFEI.bmp,I,II,1
images/fixation.bmp,fixation,,5
images/10FFEC.bmp,C,IC,1
images/fixation.bmp,fixation,,3
images/6FHEC.bmp,C,CC,1
images/fixation.bmp,fixation,,4
images/11FFEC.bmp,C,CC,1
images/fixation.bmp,fixation,,5
images/2MFEI.bmp,I,CI,1
images/fixation.bmp,fixation,,4
images/8FHEI.bmp,I,II,1
images/fixation.bmp,fixation,,3
images/9FHEI.bmp,I,II,1
images/fixation.bmp,fixation,,4
images/rest_instructions7.bmp,,,4
images/fixation.bmp,fixation,,4
images/1MHEC.bmp,C,,1
images/fixation.bmp,fixation,,4
images/6FHEI.bmp,I,CI,1
images/fixation.bmp,fixation,,3
images/11FFEC.bmp,C,IC,1
images/fixation.bmp,fixation,,3
images/9FHEC.bmp,C,CC,1
images/fixation.bmp,fixation,,5
images/3MHEI.bmp,I,CI,1
images/fixation.bmp,fixation,,3
images/4MFEI.bmp,I,II,1
images/fixation.bmp,fixation,,4
images/7FHEI.bmp,I,II,1
images/fixation.bmp,fixation,,4
images/10FHEC.bmp,C,IC,1
images/fixation.bmp,fixation,,5
images/8FHEC.bmp,C,CC,1
images/fixation.bmp,fixation,,4
images/1MFEI.bmp,I,CI,1
images/fixation.bmp,fixation,,3
images/5MFEC.bmp,C,IC,1
images/fixation.bmp,fixation,,3
images/6FFEI.bmp,I,CI,1
images/fixation.bmp,fixation,,5
images/4MHEI.bmp,I,II,1
images/fixation.bmp,fixation,,5
images/9FFEC.bmp,C,IC,1
images/fixation.bmp,fixation,,4
images/10FHEC.bmp,C,CC,1
images/fixation.bmp,fixation,,3
images/2MFEC.bmp,C,CC,1
images/fixation.bmp,fixation,,5
images/8FFEI.bmp,I,CI,1
images/fixation.bmp,fixation,,4
images/5MHEI.bmp,I,II,1
images/fixation.bmp,fixation,,3
images/11FHEI.bmp,I,II,1
images/fixation.bmp,fixation,,5
images/1MHEC.bmp,C,IC,1
images/fixation.bmp,fixation,,3
images/5MFEI.bmp,I,CI,1
images/fixation.bmp,fixation,,3
images/9FFEI.bmp,I,II,1
images/fixation.bmp,fixation,,4
images/6FHEC.bmp,C,IC,1
images/fixation.bmp,fixation,,5
images/10FFEC.bmp,C,CC,1
images/fixation.bmp,fixation,,4
images/3MHEC.bmp,C,CC,1
images/fixation.bmp,fixation,,5
images/7FHEI.bmp,I,CI,1
images/fixation.bmp,fixation,,4
images/11FFEI.bmp,I,II,1
images/fixation.bmp,fixation,,3
images/2MHEC.bmp,C,IC,1
images/fixation.bmp,fixation,,4
images/8FHEI.bmp,I,CI,1
images/fixation.bmp,fixation,,5
images/1MFEC.bmp,C,IC,1
images/fixation.bmp,fixation,,4
images/5MFEC.bmp,C,CC,1
images/fixation.bmp,fixation,,3
images/9FFEI.bmp,I,CI,1
images/fixation.bmp,fixation,,5
images/10FHEI.bmp,I,II,1
images/fixation.bmp,fixation,,5
images/2MFEI.bmp,I,II,1
images/fixation.bmp,fixation,,4
images/3MFEC.bmp,C,IC,1
images/fixation.bmp,fixation,,3
images/6FFEC.bmp,C,CC,1
images/fixation.bmp,fixation,,5
images/11FHEC.bmp,C,CC,1
images/fixation.bmp,fixation,,4
images/rest_instructions7.bmp,,,4
images/fixation.bmp,fixation,,4
images/3MFEI.bmp,I,,1
images/fixation.bmp,fixation,,3
images/4MHEC.bmp,C,IC,1
images/fixation.bmp,fixation,,5
images/5MFEI.bmp,I,CI,1
images/fixation.bmp,fixation,,5
images/6FFEI.bmp,I,II,1
images/fixation.bmp,fixation,,4
images/8FHEC.bmp,C,IC,1
images/fixation.bmp,fixation,,3
images/7FFEC.bmp,C,CC,1
images/fixation.bmp,fixation,,4
images/4MFEC.bmp,C,CC,1
images/fixation.bmp,fixation,,5
images/11FHEI.bmp,I,CI,1
images/fixation.bmp,fixation,,3
images/1MHEI.bmp,I,II,1
images/fixation.bmp,fixation,,5
images/3MHEC.bmp,C,IC,1
images/fixation.bmp,fixation,,3
images/6FHEI.bmp,I,CI,1
images/fixation.bmp,fixation,,3
images/9FFEC.bmp,C,IC,1
images/fixation.bmp,fixation,,4
images/7FHEC.bmp,C,CC,1
images/fixation.bmp,fixation,,4
images/2MHEI.bmp,I,CI,1
images/fixation.bmp,fixation,,3
images/4MFEI.bmp,I,II,1
images/fixation.bmp,fixation,,4
images/8FFEI.bmp,I,II,1
images/fixation.bmp,fixation,,5
images/11FFEC.bmp,C,IC,1
images/fixation.bmp,fixation,,5
images/10FHEC.bmp,C,CC,1
images/fixation.bmp,fixation,,3
images/1MFEC.bmp,C,CC,1
images/fixation.bmp,fixation,,4
images/5MFEI.bmp,I,CI,1
images/fixation.bmp,fixation,,4
images/9FFEC.bmp,C,IC,1
images/fixation.bmp,fixation,,5
images/6FFEC.bmp,C,CC,1
images/fixation.bmp,fixation,,3
images/3MHEI.bmp,I,CI,1
images/fixation.bmp,fixation,,5
images/8FFEI.bmp,I,II,1
images/fixation.bmp,fixation,,4
images/7FHEI.bmp,I,II,1
images/fixation.bmp,fixation,,4
images/2MHEC.bmp,C,IC,1
images/fixation.bmp,fixation,,5
images/9FHEC.bmp,C,CC,1
images/fixation.bmp,fixation,,3
images/11FFEI.bmp,I,CI,1
images/fixation.bmp,fixation,,3
images/1MHEC.bmp,C,IC,1
images/fixation.bmp,fixation,,4
images/5MHEI.bmp,I,CI,1
images/fixation.bmp,fixation,,5
images/3MFEI.bmp,I,II,1
images/fixation.bmp,fixation,,5
images/10FFEC.bmp,C,IC,1
images/fixation.bmp,fixation,,3
images/1MHEC.bmp,C,CC,1
images/fixation.bmp,fixation,,4
images/11FFEC.bmp,C,CC,1
images/fixation.bmp,fixation,,5
images/2MFEI.bmp,I,CI,1
images/fixation.bmp,fixation,,4
images/8FHEI.bmp,I,II,1
images/fixation.bmp,fixation,,3
images/9FHEI.bmp,I,II,1
images/fixation.bmp,fixation,,3
images/end_screen.bmp,,,12
