Picture,Cue,category,ISI,regulation
3071.jpg,LOOK,negative,1.323849779,Look_Negative
9432.jpg,DECREASE,negative,3.464943938,Decrease_Negative
3168.jpg,LOOK,negative,1.142501577,Look_Negative
2579.jpg,LOOK,neutral,1.159778374,Look_Neutral
9428.jpg,DECREASE,negative,1.644371415,Decrease_Negative
9253.jpg,DECREASE,negative,1.504689108,Decrease_Negative
7491.jpg,LOOK,neutral,1.340545102,Look_Neutral
3103.jpg,LOOK,Negative,5.10472449,Look_Negative
3181.jpg,LOOK,negative,1.398136333,Look_Negative
7003.jpg,LOOK,neutral,1.186734891,Look_Neutral
9830.jpg,LOOK,negative,2.910050302,Look_Negative
7036.jpg,LOOK,neutral,1.909704402,Look_Neutral
9184.jpg,LOOK,negative,1.900117568,Look_Negative
6360.jpg,LOOK,negative,1.336543865,Look_Negative
5130.jpg,LOOK,neutral,1.955309842,Look_Neutral
3068.jpg,DECREASE,negative,1.951381653,Decrease_Negative
9301.jpg,LOOK,negative,2.541141412,Look_Negative
7180.jpg,LOOK,neutral,3.451356389,Look_Neutral
9920.jpg,LOOK,negative,6.606119995,Look_Negative
7482.jpg,LOOK,neutral,1.11907923,Look_Neutral
9183.jpg,LOOK,negative,2.391672505,Look_Negative
3160.jpg,DECREASE,negative,2.495982437,Decrease_Negative
3101.jpg,DECREASE,negative,2.191509961,Decrease_Negative
7950.jpg,LOOK,Neutral,1.311526819,Look_Neutral
3001.jpg,DECREASE,negative,1.869720368,Decrease_Negative
9220.jpg,DECREASE,negative,3.51798791,Decrease_Negative
9254.jpg,LOOK,negative,3.314372882,Look_Negative
3150.jpg,DECREASE,negative,1.590750903,Decrease_Negative
1675.jpg,LOOK,neutral,1.362720228,Look_Neutral
3064.jpg,LOOK,negative,2.42036983,Look_Negative
2141.jpg,LOOK,negative,2.189374195,Look_Negative
2095.jpg,DECREASE,negative,2.421763269,Decrease_Negative
2703.jpg,DECREASE,negative,1.143373029,Decrease_Negative
5532.jpg,LOOK,neutral,1.885548152,Look_Neutral
6300.jpg,LOOK,negative,3.153896825,Look_Negative
9401.jpg,LOOK,neutral,1.333615495,Look_Neutral
6540.jpg,DECREASE,negative,2.68015962,Decrease_Negative
7052.jpg,LOOK,neutral,1.744240056,Look_Neutral
3195.jpg,DECREASE,negative,2.430688241,Decrease_Negative
3131.jpg,DECREASE,negative,4.810157129,Decrease_Negative
5020.jpg,LOOK,neutral,1.22221206,Look_Neutral
6313.jpg,LOOK,negative,1.247201155,Look_Negative
7705.jpg,LOOK,neutral,5.071640735,Look_Neutral
7044.jpg,LOOK,neutral,4.472732674,Look_Neutral
3080.jpg,DECREASE,negative,1.815662188,Decrease_Negative
