task,filename,contrast
gonogo,mni_con_0003.nii,NoGo_vs_Go
conscious,mni_con_0001.nii,Neutral
conscious,mni_con_0002.nii,Happy
conscious,mni_con_0003.nii,Fear
conscious,mni_con_0004.nii,Anger
conscious,mni_con_0005.nii,Sad
conscious,mni_con_0006.nii,Disgust
conscious,mni_con_0007.nii,Anger_vs_Neutral
conscious,mni_con_0008.nii,Fear_vs_Neutral
conscious,mni_con_0009.nii,Happy_vs_Neutral
conscious,mni_con_0010.nii,Sad_vs_Neutral
conscious,mni_con_0011.nii,Disgust_vs_Neutral
conscious,mni_con_0012.nii,Negative_vs_Neutral
conscious,mni_con_0014.nii,Fear_vs_Happy
conscious,mni_con_0015.nii,Anger_vs_Happy
conscious,mni_con_0016.nii,Sad_vs_Happy
conscious,mni_con_0017.nii,Disgust_vs_Happy
conscious,mni_con_0018.nii,Threat_vs_Neutral
conscious,mni_con_0019.nii,Negative_vs_Happy
conscious,mni_con_0020.nii,Emotional_vs_Neutral
conscious,mni_con_0021.nii,Threat_vs_Happy
nonconscious,mni_con_0001.nii,Neutral
nonconscious,mni_con_0002.nii,Happy
nonconscious,mni_con_0003.nii,Fear
nonconscious,mni_con_0004.nii,Anger
nonconscious,mni_con_0005.nii,Sad
nonconscious,mni_con_0006.nii,Disgust
nonconscious,mni_con_0007.nii,Anger_vs_Neutral
nonconscious,mni_con_0008.nii,Fear_vs_Neutral
nonconscious,mni_con_0009.nii,Happy_vs_Neutral
nonconscious,mni_con_0010.nii,Sad_vs_Neutral
nonconscious,mni_con_0011.nii,Disgust_vs_Neutral
nonconscious,mni_con_0012.nii,Negative_vs_Neutral
nonconscious,mni_con_0014.nii,Fear_vs_Happy
nonconscious,mni_con_0015.nii,Anger_vs_Happy
nonconscious,mni_con_0016.nii,Sad_vs_Happy
nonconscious,mni_con_0017.nii,Disgust_vs_Happy
nonconscious,mni_con_0018.nii,Threat_vs_Neutral
nonconscious,mni_con_0019.nii,Negative_vs_Happy
nonconscious,mni_con_0020.nii,Emotional_vs_Neutral
nonconscious,mni_con_0021.nii,Threat_vs_Happy
emoreg,mni_con_0001.nii,Look_Neutral
emoreg,mni_con_0002.nii,Look_Negative
emoreg,mni_con_0003.nii,Decrease_Negative
emoreg,mni_con_0004.nii,Negative_vs_Neutral
emoreg,mni_con_0005.nii,NegLook_vs_NegDecrease
emoreg,mni_con_0006.nii,Negative_Images
emoreg,mni_con_0007.nii,All_Images
emocon,mni_con_0001.nii,CC
emocon,mni_con_0002.nii,CI
emocon,mni_con_0003.nii,IC
emocon,mni_con_0004.nii,II
emocon,mni_con_0005.nii,CC_vs_CI
emocon,mni_con_0006.nii,CI_vs_CC
emocon,mni_con_0007.nii,CI_vs_II
emocon,mni_con_0008.nii,II_vs_CI
emocon,mni_con_0009.nii,Faces_vs_Fixation
