task,seed,contrast,contrast_num
gonogo,013136_Left_10mm_dlPFC_CogCon_n44_6_32,NoGo_vs_Go,3
gonogo,533294_Right_10mm_dlPFC_CogCon_44_34_22,NoGo_vs_Go,3
gonogo,291082_Bilat_10mm_dACC_CogCon_0_18_46,NoGo_vs_Go,3
conscious,426426_Left_10mm_pACC_Threat_n6_42_n4,Sad_vs_Neutral,10
conscious,707656_Left_10mm_antInsula_Threat_n36_20_n4,Sad_vs_Neutral,10
conscious,779062_Left_Amygdala_Threat,Sad_vs_Neutral,10
conscious,534482_Right_10mm_antInsula_Threat_38_22_n4,Sad_vs_Neutral,10
conscious,176064_Right_Amygdala_Threat,Sad_vs_Neutral,10
conscious,911981_Bilat_10mm_sgACC_Threat_4_26_n10,Sad_vs_Neutral,10
conscious,779062_Left_Amygdala_Threat,Threat_vs_Neutral,18
conscious,176064_Right_Amygdala_Threat,Threat_vs_Neutral,18
conscious,131520_Right_10mm_dACC_Threat_6_22_32,Threat_vs_Neutral,18
nonconscious,176064_Right_Amygdala_Threat,Threat_vs_Neutral,18
nonconscious,779062_Left_Amygdala_Threat,Threat_vs_Neutral,18
nonconscious,131520_Right_10mm_dACC_Threat_6_22_32,Threat_vs_Neutral,18
nonconscious,911981_Bilat_10mm_sgACC_Threat_4_26_n10,Threat_vs_Neutral,18
